detection_id,lat,lon,geom,antenna_id,tag_id,detection_timestamp_tz,tagged_timestamp_tz,create_user,create_date,mod_user,mod_date,program
642864,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562311,2017-04-29 19:45:42+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642865,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562306,2017-04-29 19:45:54+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642866,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562311,2017-04-29 20:49:22+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642867,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562309,2017-04-29 20:49:58+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642868,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562306,2017-04-29 20:50:09+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642869,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562306,2017-04-29 20:52:19+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642870,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562309,2017-04-29 20:52:27+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642871,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562311,2017-04-29 20:52:33+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642872,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562336,2017-04-29 20:52:44+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642873,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562336,2017-04-29 20:52:48+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642874,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-29 21:40:14+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642875,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-29 21:41:21+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642876,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-29 21:41:42+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642877,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562336,2017-04-29 21:41:45+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642878,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562343,2017-04-29 21:43:52+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642879,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562345,2017-04-29 21:44:00+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642880,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562351,2017-04-29 21:44:07+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642881,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-29 21:55:06+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642882,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-29 21:55:18+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642883,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-29 21:55:19+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642884,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562336,2017-04-29 21:55:23+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642885,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562343,2017-04-29 21:58:11+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642886,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562351,2017-04-29 21:58:13+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642887,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562345,2017-04-29 21:58:19+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642888,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-30 02:22:35+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642889,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-30 02:29:49+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642890,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562336,2017-04-30 02:29:58+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642891,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-30 02:30:01+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642892,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562343,2017-04-30 02:30:05+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642893,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562351,2017-04-30 02:30:07+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642894,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562345,2017-04-30 02:30:10+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642895,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562306,2017-04-30 07:04:19+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642896,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562309,2017-04-30 07:05:00+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642897,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562311,2017-04-30 07:05:12+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642898,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562336,2017-04-30 07:05:18+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642899,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562345,2017-04-30 07:05:23+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642900,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562343,2017-04-30 07:05:30+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642901,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562351,2017-04-30 07:05:32+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642902,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562306,2017-04-30 07:12:28+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642903,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562336,2017-04-30 07:12:33+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642904,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562309,2017-04-30 07:12:45+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642905,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562311,2017-04-30 07:13:07+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642906,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562345,2017-04-30 07:13:08+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642907,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562343,2017-04-30 07:13:43+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642908,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562351,2017-04-30 07:13:47+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642909,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562306,2017-04-30 07:16:19+00,2017-04-29 12:18:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642910,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562311,2017-04-30 07:16:32+00,2017-04-29 12:54:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642911,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562314,2017-04-30 07:16:33+00,2017-04-29 13:12:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642912,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562326,2017-04-30 07:16:34+00,2017-04-29 13:50:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642913,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562320,2017-04-30 07:16:35+00,2017-04-29 13:28:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642914,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562315,2017-04-30 07:16:36+00,2017-04-29 13:13:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642915,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562317,2017-04-30 07:16:37+00,2017-04-29 13:25:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642916,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562316,2017-04-30 07:16:38+00,2017-04-29 13:14:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642917,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562309,2017-04-30 07:16:40+00,2017-04-29 12:37:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642918,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562336,2017-04-30 07:19:45+00,2017-04-29 14:30:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642919,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562343,2017-04-30 07:19:53+00,2017-04-29 14:59:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642920,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562351,2017-04-30 14:20:04+00,2017-04-29 16:02:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642921,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562345,2017-04-30 14:20:11+00,2017-04-29 15:08:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642922,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562367,2017-05-07 16:47:37+00,2017-05-07 11:46:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642923,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562366,2017-05-07 16:47:39+00,2017-05-07 11:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642924,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562369,2017-05-07 16:48:34+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642925,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562369,2017-05-07 17:42:29+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642926,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562366,2017-05-07 17:43:19+00,2017-05-07 11:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642927,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562367,2017-05-07 17:43:27+00,2017-05-07 11:46:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642928,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562369,2017-05-07 17:58:34+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642929,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562369,2017-05-07 18:03:31+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642930,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562369,2017-05-07 18:17:17+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642931,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562366,2017-05-07 18:23:29+00,2017-05-07 11:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642932,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562373,2017-05-07 18:33:25+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642933,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562367,2017-05-07 18:33:27+00,2017-05-07 11:46:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642934,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562369,2017-05-07 18:37:14+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642935,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562373,2017-05-07 18:37:31+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642936,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562373,2017-05-07 18:37:33+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642937,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562373,2017-05-07 18:42:49+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642938,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562369,2017-05-07 18:42:50+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642939,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562366,2017-05-07 18:42:51+00,2017-05-07 23:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642940,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562367,2017-05-07 18:43:07+00,2017-05-07 11:46:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642941,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562366,2017-05-07 18:53:13+00,2017-05-07 23:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642942,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562373,2017-05-07 18:53:17+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642943,41.90820556,-70.57045833,0101000020E61000004450AB6382A451C07BAC631440F44440,TA1-A3,900_228000562369,2017-05-07 18:57:16+00,2017-05-07 11:47:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642944,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562373,2017-05-07 19:09:22+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642945,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562364,2017-05-07 19:11:18+00,2017-05-07 10:42:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642946,41.90850833,-70.57033056,0101000020E6100000890DBB4B80A451C05FD545004AF44440,TA1-A1,900_228000562365,2017-05-07 19:11:21+00,2017-05-07 11:45:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642947,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562373,2017-05-07 19:12:51+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
642948,41.908225,-70.57005,0101000020E61000006DC5FEB27BA451C06E3480B740F44440,TA1-A2,900_228000562373,2017-05-07 19:18:10+00,2017-05-07 14:15:00+00,bbray@mit.edu,2023-01-03 12:04:00+05,bbray@mit.edu,2023-01-03 12:04:00+05,Fresh Pond
